DESA,"Jumlah
Kelahiran 1 Tahun","Jumlah
Kematian 1 Tahun","Penduduk
Pertengahan Tahun","Angka
Kelahiran Kasar","Angka
Kematian Kasar"
1   Banyumeneng,136,41,9518,14.29,4.31
2   Sumberejo,128,45,8113,15.78,5.55
3   Kebonbatur,247,81,27951,8.84,2.90
4   Kangkung,497,136,8112,61.27,16.77
5   Kalitengah,136,44,4856,28.01,9.06
6   Kembangarum,79,29,11233,7.03,2.58
7   Mranggen,183,58,15636,11.70,3.71
8   Batursari,206,65,50869,4.05,1.28
9   Bandungrejo,137,50,9785,14.00,5.11
10  Brumbung,91,26,5854,15.54,4.44
11  Ngemplak,67,15,4101,16.34,3.66
12  Tamansari,118,41,4390,26.88,9.34
13  Karangsono,68,17,6168,11.02,2.76
14  Candisari,94,22,4728,19.88,4.65
15  Tegalarum,88,16,5587,15.75,2.86
16  Waru,167,32,4564,36.59,7.01
17  Menur,72,11,4557,15.80,2.41
18  Jamus,97,16,4353,22.28,3.68
19  Wringin Jajar,94,24,8618,10.91,2.78
